Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
138;476515;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
139;518084;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
140;474643;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
141;514204;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
142;467283;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
143;501059;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
144;479678;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
145;500150;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
146;470651;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
147;1619032;409989120;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
148;536672;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
149;508017;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
150;519859;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
151;510878;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
152;494359;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
153;524769;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
154;506963;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
155;536604;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
156;508918;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
157;515621;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
158;537788;410255360;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
159;542566;410255360;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
160;518524;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
161;474671;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
162;505366;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
163;478340;410525696;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
