Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
233;496363;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
234;513778;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
235;496127;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
236;1057454;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
237;511279;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
238;468528;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
239;501784;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
240;475090;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
241;499904;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
242;483881;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
243;479114;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
244;474355;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
245;479359;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
246;474788;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
247;502446;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
248;486721;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
249;488190;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
250;470578;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
251;489269;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
252;472552;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
253;507852;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
254;484657;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
255;490539;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
256;500159;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
257;486667;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
258;474807;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
259;502865;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
260;486299;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
261;499915;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
262;481670;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
263;493822;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
264;505799;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
265;509883;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
266;507868;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
267;503819;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
268;1120251;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
269;505778;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
270;1049473;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
271;556476;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
272;527581;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
273;559209;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
274;527779;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
275;478710;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
276;535291;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
277;509670;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
278;526419;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
279;484654;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
280;524612;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
281;458410;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
282;515996;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
283;457498;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
284;535152;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
285;461051;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
286;539086;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
287;455296;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
288;533495;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
289;456003;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
290;521491;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
291;461060;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
292;536863;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
293;456243;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
294;532837;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
295;461179;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
296;528352;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
297;455933;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
298;1197008;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
299;528908;398389248;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
300;527941;398655488;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
301;492168;398655488;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
302;489358;398655488;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
303;535595;398655488;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
304;508067;398655488;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
305;505945;398655488;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
