Player_ID,Total_Players,RoundTripDelay_ms
2,5,17.14
2,5,17.06
2,5,16.99
2,5,16.93
2,5,16.88
2,5,16.84
2,5,16.81
2,5,16.78
2,5,16.76
2,5,19.77
2,5,19.76
2,5,19.20
2,5,18.74
2,5,18.37
2,5,18.06
2,5,17.81
2,5,17.60
2,5,17.43
2,5,17.29
2,5,20.20
2,5,20.70
2,5,19.97
2,5,19.37
2,5,18.88
2,5,18.48
2,5,18.15
2,5,17.88
2,5,17.66
2,5,18.76
2,5,20.12
2,5,19.50
2,5,18.98
2,5,18.56
2,5,18.22
2,5,17.94
2,5,17.71
2,5,17.52
2,5,18.65
2,5,20.66
2,5,19.93
2,5,19.34
2,5,18.86
2,5,18.46
2,5,18.13
2,5,17.87
2,5,17.65
2,5,20.49
2,5,20.94
2,5,20.16
2,5,19.53
2,5,19.01
2,5,18.59
2,5,18.24
2,5,17.95
2,5,17.72
2,5,18.81
2,5,20.16
2,5,19.53
2,5,19.01
2,5,18.58
2,5,18.24
2,5,17.95
2,5,17.72
2,5,17.53
2,5,18.65
2,5,19.43
2,5,18.93
2,5,18.52
2,5,18.18
2,5,17.91
2,5,17.68
2,5,17.50
2,5,17.35
2,5,19.59
2,5,19.06
2,5,18.63
2,5,18.27
2,5,17.98
2,5,17.74
2,5,17.55
2,5,17.39
2,5,18.54
2,5,19.34
2,5,18.85
2,5,18.46
2,5,18.13
2,5,17.87
2,5,17.65
2,5,17.47
2,5,17.32
2,5,19.67
2,5,20.26
2,5,19.61
2,5,19.08
2,5,18.64
2,5,18.28
2,5,17.99
2,5,17.75
2,5,18.21
2,5,20.95
2,5,20.17
2,5,19.54
2,5,19.02
2,5,18.59
2,5,18.24
2,5,17.96
2,5,17.72
2,5,18.18
2,5,20.93
2,5,20.72
2,5,19.98
2,5,19.38
2,5,18.89
2,5,18.49
2,5,18.16
2,5,17.89
2,5,17.66
2,5,19.85
2,5,19.27
2,5,18.80
2,5,18.41
2,5,18.10
2,5,17.84
2,5,17.63
