Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Unnamed: 21
10106,1201281,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10107,691014,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10108,3718845,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10109,691143,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10110,1142368,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10111,704707,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10112,1127902,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10113,676464,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10114,5153772,523919360,19173376,470732800,4297755,0,19858,0,0,0,0,0,0,2755,378.0,558.0,0.0,76.0,0.0,1.0,
10115,878949,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10116,1355424,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10117,801930,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10118,1620682,526209024,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10119,731310,526209024,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10120,3963299,526209024,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10121,717860,526209024,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10122,1472237,526209024,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10123,1563615,526209024,19173376,470732800,813967,0,21870,0,0,0,0,0,0,3071,378.0,558.0,0.0,76.0,0.0,1.0,
10124,1182270,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10125,741602,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10126,4133789,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10127,716578,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10128,1158668,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10129,716539,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10130,1172800,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10131,691262,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10132,4199334,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10133,1407049,526364672,19173376,470732800,721592,0,25260,0,0,0,0,0,0,2426,378.0,558.0,0.0,76.0,0.0,1.0,
10134,1257045,526364672,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10135,808319,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10136,1343352,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10137,706741,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10138,4126913,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10139,758522,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10140,1243990,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10141,705245,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10142,1444045,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10143,683861,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10144,3867409,528461824,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10145,1464488,528461824,19173376,470732800,695285,0,22429,0,0,0,0,0,0,2998,378.0,558.0,0.0,76.0,0.0,1.0,
10146,1601448,530558976,19173376,487510016,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10147,802698,532656128,19173376,487510016,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
