Player_ID,Total_Players,RoundTripDelay_ms
2,5,19.65
2,5,19.11
2,5,20.41
2,5,19.73
2,5,19.17
2,5,18.72
2,5,18.35
2,5,18.04
2,5,20.26
2,5,19.61
2,5,19.07
2,5,18.64
2,5,18.28
2,5,17.99
2,5,18.40
2,5,19.22
2,5,18.76
2,5,18.38
2,5,18.07
2,5,17.82
2,5,17.61
2,5,18.72
2,5,19.48
2,5,18.97
2,5,18.55
2,5,18.21
2,5,17.93
2,5,17.70
2,5,19.98
2,5,19.38
2,5,18.89
2,5,18.48
2,5,18.16
2,5,17.89
2,5,18.32
2,5,19.76
2,5,19.20
2,5,18.74
2,5,18.36
2,5,18.06
2,5,17.80
2,5,20.06
2,5,19.45
2,5,18.94
2,5,18.53
2,5,18.19
2,5,17.92
2,5,17.69
2,5,19.87
2,5,19.29
2,5,18.82
2,5,18.43
2,5,18.11
2,5,17.85
2,5,17.63
2,5,19.20
2,5,18.74
2,5,18.36
2,5,18.06
2,5,17.80
2,5,17.60
2,5,19.31
2,5,19.39
2,5,18.90
2,5,18.49
2,5,18.16
2,5,17.89
2,5,17.67
2,5,18.77
2,5,18.94
2,5,18.53
2,5,18.19
2,5,17.92
2,5,17.69
2,5,17.50
2,5,19.24
2,5,18.77
2,5,18.39
2,5,18.08
2,5,17.82
2,5,17.61
2,5,17.44
2,5,19.67
2,5,19.12
2,5,18.68
2,5,18.31
2,5,18.02
2,5,17.77
2,5,18.22
2,5,19.68
2,5,19.14
2,5,18.69
2,5,18.32
2,5,18.02
2,5,17.78
2,5,20.04
2,5,19.43
2,5,18.93
2,5,18.52
2,5,18.18
2,5,17.91
2,5,18.34
2,5,19.17
2,5,18.72
2,5,18.34
2,5,18.04
2,5,17.79
2,5,17.59
2,5,19.31
2,5,19.38
2,5,18.89
2,5,18.49
2,5,18.16
2,5,17.89
2,5,17.67
2,5,19.37
2,5,19.44
2,5,18.93
2,5,18.52
2,5,18.19
2,5,17.91
2,5,17.69
3,5,16.67
3,5,16.67
3,5,19.14
3,5,21.71
3,5,23.82
3,5,25.55
3,5,26.96
3,5,27.46
3,5,25.50
3,5,23.90
3,5,22.59
3,5,21.52
3,5,20.64
3,5,21.80
3,5,21.43
3,5,20.56
3,5,19.86
3,5,19.28
3,5,18.81
3,5,19.70
3,5,20.29
3,5,19.63
3,5,19.09
3,5,18.65
3,5,18.29
3,5,18.00
3,5,20.22
3,5,19.58
3,5,19.05
3,5,18.62
3,5,18.26
3,5,17.97
3,5,17.74
3,5,19.91
3,5,19.32
3,5,18.84
3,5,18.45
3,5,18.12
3,5,17.86
