Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
88183,5763589,23155769344,106389504,79679303680,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88184,8771660,23156031488,106389504,79679303680,6218392,0,1112656,207118,0,0,0,0,0,4489,0.0,8364.0,0.0,4.0
88185,4601670,23156031488,106389504,79679303680,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88186,2778862,23156121600,106385408,79679299584,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88187,8998566,23156121600,106385408,79679299584,4381197,0,1132003,194986,0,0,0,0,0,4538,0.0,8364.0,0.0,4.0
88188,2824437,23115579392,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88189,4534494,23115829248,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88190,7316160,23115829248,61648896,79651340288,4441800,0,1111785,197179,0,0,0,0,0,4809,0.0,8364.0,0.0,4.0
88191,4574970,23116099584,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88192,2517001,23116099584,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88193,4539413,23116099584,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88194,7592429,23116099584,61648896,79651340288,4393239,0,1101185,200716,0,0,0,0,0,4418,0.0,8364.0,0.0,4.0
88195,4750809,23116099584,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88196,2507262,23116365824,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88197,12513949,23116365824,61648896,79651340288,7840294,0,1197005,220614,0,0,0,0,0,6292,0.0,8364.0,0.0,4.0
88198,3865639,23116365824,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88199,10709113,23116365824,61648896,79651340288,5492441,0,1117906,227577,0,0,0,0,0,6492,0.0,8364.0,0.0,4.0
88200,3967190,23116365824,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88201,5082531,23116365824,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88202,9124802,23116365824,61648896,79651340288,5171288,0,1113378,225022,0,0,0,0,0,6041,0.0,8364.0,0.0,4.0
88203,5180104,23116365824,61648896,79651340288,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88204,9302035,23116365824,61648896,79651340288,5429403,0,1112477,226685,0,0,0,0,0,6291,0.0,8364.0,0.0,4.0
88205,7114482,23131578368,106385408,79696076800,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88206,11437910,23146524672,106389504,79696080896,5497911,0,1116163,214752,0,0,0,0,0,6181,0.0,8364.0,0.0,4.0
88207,6627168,23165399040,106389504,79712858112,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88208,9340617,23165399040,106389504,79712858112,5410948,0,1117335,233247,0,0,0,0,0,6212,0.0,8364.0,0.0,4.0
88209,5190995,23165399040,106389504,79712858112,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88210,12203225,23165399040,106389504,79712858112,8367732,0,1163813,223679,0,0,0,0,0,7203,0.0,8364.0,0.0,4.0
88211,5685312,23165399040,106389504,79712858112,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88212,9684823,23120936960,51273728,79657742336,5360914,0,1169343,236614,0,0,0,0,0,6102,0.0,8364.0,0.0,4.0
88213,5305991,23120936960,51273728,79657742336,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88214,11381144,23121199104,51273728,79657742336,7472725,0,1163902,223128,0,0,0,0,0,6171,0.0,8364.0,0.0,4.0
