Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
94373,1587517,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94374,4291568,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94375,1850871,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94376,5459419,7890497536,52084736,26899447808,1407700,0,224761,0,0,0,0,0,0,2736,0.0,2788.0,0.0,4.0
94377,1631910,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94378,4306817,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94379,1838037,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94380,4223411,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94381,3326228,7890497536,52084736,26899447808,1445111,0,227496,0,0,0,0,0,0,3046,0.0,2788.0,0.0,4.0
94382,5050813,7907274752,94109696,26941472768,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94383,2610025,7921954816,94109696,26941472768,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94384,4337946,7921954816,94109696,26941472768,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94385,2012223,7921954816,94109696,26941472768,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94386,5331639,7921954816,94109696,26941472768,1514830,0,226094,0,0,0,0,0,0,2885,0.0,2788.0,0.0,4.0
94387,1604789,7921954816,94109696,26941472768,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94388,4310013,7921954816,94109696,26941472768,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94389,1841513,7921954816,94109696,26941472768,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94390,4887616,7921954816,94109696,26941472768,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94391,5451143,7890513920,52084736,26899447808,2041929,0,244479,0,0,0,0,0,0,5039,0.0,2788.0,0.0,4.0
