Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
110;530285;498941952;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
111;537628;498941952;9527296;447455232;0;0;0;0;0;0;0;0;0;1193;0;0;0;0;
112;520456;499212288;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
113;514164;499212288;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
114;508864;499212288;9527296;447455232;0;0;0;0;0;0;0;0;0;1202;0;0;0;0;
115;523612;499212288;9527296;447455232;0;0;0;0;0;0;0;0;0;1192;0;0;0;0;
116;524123;499212288;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
117;524563;499212288;9527296;447455232;0;0;0;0;0;0;0;0;0;1192;0;0;0;0;
118;541476;499212288;9527296;447455232;0;0;0;0;0;0;0;0;0;1202;0;0;0;0;
119;531748;499212288;9527296;447455232;0;0;0;0;0;0;0;0;0;1253;0;0;0;0;
120;525195;499482624;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
121;527269;499482624;9527296;447455232;0;0;0;0;0;0;0;0;0;1153;0;0;0;0;
122;520196;499482624;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
123;518913;499482624;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
124;551544;499482624;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
125;526337;499482624;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
126;540483;499482624;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
127;508444;499482624;9527296;447455232;0;0;0;0;0;0;0;0;0;1193;0;0;0;0;
128;546856;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1212;0;0;0;0;
129;516810;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1203;0;0;0;0;
130;521458;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1192;0;0;0;0;
131;517671;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1192;0;0;0;0;
132;529002;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
133;516579;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
134;516749;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
135;524564;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
136;508013;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
137;514234;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
138;511499;499752960;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
139;2094258;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
140;648456;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
141;519243;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1192;0;0;0;0;
142;514575;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
143;777218;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
144;574768;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
145;520596;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
146;519204;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
147;505859;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
148;531718;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1212;0;0;0;0;
149;507592;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1192;0;0;0;0;
150;523902;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
151;504476;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
152;538760;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
153;502973;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
154;511148;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1122;0;0;0;0;
155;525615;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
156;554130;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
157;528321;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
158;517681;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
159;537629;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1192;0;0;0;0;
160;499306;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
161;530165;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1173;0;0;0;0;
162;510608;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
163;510908;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
164;534241;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1153;0;0;0;0;
165;539192;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
166;537508;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1202;0;0;0;0;
167;515717;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
168;520487;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
169;492193;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
170;533801;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
171;521448;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
172;566944;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
173;531166;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1193;0;0;0;0;
174;496411;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
175;630393;500023296;9527296;447455232;0;0;0;0;0;0;0;0;0;1122;0;0;0;0;
