Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
81993,7760965,42659581952,123936768,149562429440,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81994,10553933,42659848192,123936768,149562429440,3055350,0,1398774,101229,0,0,0,0,0,4438,0.0,267.0,0.0,100.0
81995,5793786,42664292352,123932672,149579202560,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81996,7632283,42664828928,123932672,149579202560,2941557,0,1396169,105988,0,0,0,0,0,4388,0.0,267.0,0.0,100.0
81997,4756200,42664828928,123932672,149579202560,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81998,6378802,42623741952,71598080,149526867968,3923979,0,1393263,101270,0,0,0,0,0,4579,0.0,267.0,0.0,100.0
81999,5148395,42623741952,71598080,149526867968,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82000,5618547,42641842176,123932672,149595979776,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82001,5231752,42641842176,123932672,149595979776,3062724,0,1399996,119864,0,0,0,0,0,4779,0.0,267.0,0.0,100.0
82002,8860707,42642350080,123932672,149595979776,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82003,5605934,42646720512,123928576,149612752896,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82004,8516642,42646720512,123928576,149612752896,3445221,0,1415164,128531,0,0,0,0,0,4729,0.0,267.0,0.0,100.0
82005,5059068,42646720512,123928576,149612752896,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82006,19498177,42665979904,123924480,149612748800,15424697,0,1401939,117280,0,0,0,0,0,4588,0.0,267.0,0.0,100.0
82007,24829535,42686795776,123924480,149629526016,18271646,0,1412669,87565,0,0,0,0,0,4558,0.0,267.0,0.0,100.0
82008,19516812,42688147456,123924480,149629526016,9464760,0,1385428,85650,0,0,0,0,0,4147,0.0,267.0,0.0,100.0
82009,22894326,42693124096,123924480,149646303232,20226031,0,1392962,90800,0,0,0,0,0,4328,0.0,267.0,0.0,100.0
82010,41516049,42697854976,123924480,149663080448,34963189,0,2835207,150783,0,0,0,0,0,8737,0.0,267.0,0.0,100.0
82011,46030635,42706243584,123924480,149696634880,38897038,0,2757841,157115,0,0,0,0,0,6543,0.0,267.0,0.0,100.0
82012,24797855,42706497536,123924480,149696634880,16970247,0,4178295,200697,0,0,0,0,0,9378,0.0,267.0,0.0,100.0
82013,17881083,42711220224,123920384,149713408000,7238776,0,2729649,259807,0,0,0,0,0,6883,0.0,267.0,0.0,100.0
82014,21995690,42711977984,123920384,149713408000,13545032,0,1515502,106269,0,0,0,0,0,5480,0.0,267.0,0.0,100.0
82015,25685280,42716422144,123920384,149730185216,19894169,0,1384407,198252,0,0,0,0,0,3416,0.0,267.0,0.0,100.0
82016,20209861,42716672000,123920384,149730185216,12252618,0,1388143,99717,0,0,0,0,0,3917,0.0,267.0,0.0,100.0
82017,28609083,42666409984,58978304,149682020352,6924687,0,2761468,156764,0,0,0,0,0,6892,0.0,267.0,0.0,100.0
82018,27179982,42670845952,58978304,149698797568,19002988,0,1384617,92003,0,0,0,0,0,4037,0.0,267.0,0.0,100.0
82019,14159144,42671108096,58978304,149698797568,6334130,0,2853291,191890,0,0,0,0,0,8576,0.0,267.0,0.0,100.0
82020,19443393,42671108096,58978304,149698797568,10439628,0,1389165,116669,0,0,0,0,0,5030,0.0,267.0,0.0,100.0
82021,18208027,42687672320,123920384,149780516864,4119787,0,2310763,116458,0,0,0,0,0,5430,0.0,267.0,0.0,100.0
82022,8349298,42689769472,123920384,149780516864,5494875,0,1397451,110387,0,0,0,0,0,4298,0.0,267.0,0.0,100.0
82023,19004991,42689769472,123920384,149780516864,12441032,0,1385799,98726,0,0,0,0,0,4649,0.0,267.0,0.0,100.0
82024,10237489,42689769472,123920384,149780516864,3301341,0,1436123,122600,0,0,0,0,0,4588,0.0,267.0,0.0,100.0
82025,9562003,42689769472,123920384,149780516864,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82026,6595259,42702352384,123924480,149780520960,2975791,0,1401739,98355,0,0,0,0,0,4889,0.0,267.0,0.0,100.0
82027,8801707,42717298688,123924480,149780520960,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82028,9147475,42734346240,123928576,149797302272,3557722,0,1437526,79469,0,0,0,0,0,5650,0.0,267.0,0.0,100.0
82029,6615276,42734604288,123928576,149797302272,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82030,7191297,42734604288,123928576,149797302272,2967855,0,1398583,101140,0,0,0,0,0,5310,0.0,267.0,0.0,100.0
