Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
56243,6808429,16338419712,41426944,35741929472,1876772,0,509631,0,0,0,0,0,0,4491,400.0,775.0,0.0,89.0,0.0,70.0
56244,13233284,16347877376,79835136,35780337664,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56245,11720547,16357842944,79831040,35780333568,1997949,0,498381,0,0,0,0,0,0,4081,400.0,775.0,0.0,89.0,0.0,70.0
56246,14874219,16367308800,79831040,35797110784,2159411,0,488648,0,0,0,0,0,0,4273,400.0,775.0,0.0,89.0,0.0,70.0
56247,8535318,16367308800,79831040,35797110784,3328447,0,504277,0,0,0,0,0,0,4467,400.0,775.0,0.0,89.0,0.0,70.0
56248,5559827,16367308800,79831040,35797110784,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56249,2733147,16367558656,79826944,35797106688,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56250,7124982,16367558656,79826944,35797106688,1888334,0,501056,0,0,0,0,0,0,4547,400.0,775.0,0.0,89.0,0.0,70.0
56251,4405431,16367566848,79835136,35797114880,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56252,6099246,16367566848,79835136,35797114880,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56253,4813535,16367566848,79835136,35797114880,1970866,0,464755,0,0,0,0,0,0,4541,400.0,775.0,0.0,89.0,0.0,70.0
56254,6835983,16367566848,79835136,35797114880,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56255,2832764,16367566848,79835136,35797114880,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56256,7158658,16367566848,79835136,35797114880,1961967,0,453945,0,0,0,0,0,0,3974,400.0,775.0,0.0,89.0,0.0,70.0
56257,5784268,16338448384,41426944,35758706688,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56258,5147558,16338448384,41426944,35758706688,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56259,4750905,16338448384,41426944,35758706688,1888866,0,499778,0,0,0,0,0,0,4117,400.0,775.0,0.0,89.0,0.0,70.0
56260,5550449,16338448384,41426944,35758706688,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56261,4217678,16338448384,41426944,35758706688,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56262,7135831,16338448384,41426944,35758706688,1847774,0,488132,0,0,0,0,0,0,4325,400.0,775.0,0.0,89.0,0.0,70.0
56263,3713372,16338448384,41426944,35758706688,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56264,6276029,16338448384,41426944,35758706688,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56265,5554621,16338448384,41426944,35758706688,1918815,0,443032,0,0,0,0,0,0,4289,400.0,775.0,0.0,89.0,0.0,70.0
56266,11688613,16347926528,79835136,35813892096,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56267,11144067,16357658624,79835136,35813892096,1974569,0,512782,0,0,0,0,0,0,4388,400.0,775.0,0.0,89.0,0.0,70.0
56268,11126611,16367394816,79835136,35813892096,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56269,6216401,16367616000,79831040,35813888000,1958649,0,485299,0,0,0,0,0,0,4177,400.0,775.0,0.0,89.0,0.0,70.0
56270,6510131,16367620096,79831040,35813888000,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
