Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Unnamed: 21
7919,957153,413495296,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7920,1315244,413495296,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7921,775750,413495296,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7922,5676155,413495296,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7923,1260567,413495296,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7924,1451041,413495296,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7925,822918,413495296,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7926,1307793,413495296,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7927,1785662,413495296,16429056,518320128,922313,0,34124,0,0,0,0,0,0,4521,378.0,558.0,0.0,76.0,0.0,1.0,
7928,5811130,413728768,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7929,1262630,413728768,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7930,1449658,413728768,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7931,824116,413728768,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7932,1277420,413728768,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7933,814979,413728768,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7934,3986572,413728768,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7935,3837000,413728768,16429056,518320128,985658,0,34533,0,0,0,0,0,0,4751,378.0,558.0,0.0,76.0,0.0,1.0,
7936,1592638,413728768,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7937,928422,413925376,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7938,1348554,413925376,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7939,835167,413925376,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7940,12185594,413925376,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7941,2553429,413925376,16429056,518320128,1165538,0,35665,0,0,0,0,0,0,4675,378.0,558.0,0.0,76.0,0.0,1.0,
7942,1882392,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7943,1043486,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7944,1489989,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7945,972636,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7946,4428924,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7947,2411374,414130176,16429056,535097344,1031570,0,34456,0,0,0,0,0,0,4853,378.0,558.0,0.0,76.0,0.0,1.0,
7948,1875634,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7949,1094416,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7950,1540053,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7951,884335,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7952,4174449,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7953,3155102,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7954,2450362,414130176,16429056,535097344,1452453,0,32776,0,0,0,0,0,0,4162,378.0,558.0,0.0,76.0,0.0,1.0,
7955,840753,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7956,1310888,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7957,815782,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7958,5559852,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7959,1164563,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7960,1405562,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7961,796850,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7962,1225768,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7963,796307,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7964,6876554,414130176,16429056,535097344,5807105,0,39944,0,0,0,0,0,0,4632,378.0,558.0,0.0,76.0,0.0,1.0,
7965,1008856,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7966,1377792,414130176,16429056,535097344,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
